ID,Residence_Type,ECF,Street Address,Sale_Date,Price,Type,Class,Year_Built,Square_Feet,Basement_Square_Feet,Basement_Finished_Recreation,Basement_Finished_Living,Full_Baths,Half_Baths,Price_per_sqft
02R_02-376-007_85,House,02R,6143 Walker ,6/8/2018,235000,Ranch,C,1967,1627,1363,0,0,1,1,144.44
02R_02-254-006_86,House,02R,6681 Emerald Lake ,10/30/2017,317500,Ranch,C,1973,1656,1656,800,0,2,1,191.73
02R_02-251-014_87,House,02R,6577 Emerald Lake ,6/12/2017,295000,Ranch,C,1976,1662,1662,0,0,2,0,177.50
02R_02-227-012_88,House,02R,6860 Little Creek ,10/10/2018,275000,Ranch,C,1976,1684,1661,0,0,2,1,163.30
02R_02-251-013_89,House,02R,6587 Emerald Lake ,7/2/2018,320000,Ranch,C,1973,1729,1435,1435,0,2,1,185.08
03A_03-251-033_90,House,03A,6450 Montclair ,10/19/2018,312500,Colonial,C,1977,2462,1418,0,0,2,1,126.93
03A_03-126-030_91,House,03A,345 Lovell ,7/3/2017,335000,Colonial,C,1978,2502,1416,300,0,2,1,133.89
03A_03-126-007_92,House,03A,755 South Blvd ,8/27/2018,405000,Colonial,BC,1992,2540,1570,0,0,2,1,159.45
03A_03-126-047_93,House,03A,6793 Westaway ,8/23/2017,420000,Colonial,C,1994,2685,1556,0,0,3,0,156.42
03A_03-251-004_94,House,03A,6644 Montclair ,9/22/2017,278000,Ranch,C,1967,1539,1240,900,0,1,1,180.64
03A_03-251-041_95,House,03A,6678 Montclair ,12/13/2018,300000,Ranch,C,1985,1570,1558,0,0,2,0,191.08
03A_03-127-010_96,House,03A,6860 Westaway ,10/29/2018,250000,Ranch,C,1977,1663,1410,0,0,1,1,150.33
03A_03-252-021_97,House,03A,781 Deetta ,9/7/2018,305000,Ranch,C,1977,2050,1648,0,0,1,1,148.78
03A_03-126-021_98,House,03A,6771 Westaway ,8/29/2017,249000,Ranch,C,1941,2067,0,0,0,2,0,120.46
03A_03-101-009_99,House,03A,6730 Livernois ,4/18/2017,280000,Ranch,D,1946,2503,1008,300,0,2,0,111.87
03A_03-226-037_100,House,03A,731 Lovell ,9/29/2017,285000,Ranch,C,1958,2838,0,0,0,2,0,100.42
03B_03-451-065_101,House,03B,860 Ottawa ,9/6/2017,545000,Colonial,BC,1983,3316,1078,904,0,3,1,164.35
03D_03-277-014_102,House,03D,865 Deetta ,8/21/2017,147500,Ranch,C,1958,1008,0,0,0,1,0,146.33
03D_03-278-007_103,House,03D,920 Deetta ,4/7/2017,175000,Ranch,C,1955,1176,0,0,0,1,1,148.81
03D_03-277-008_104,House,03D,916 Hannah ,10/3/2018,250000,Ranch,C,1978,1510,1510,1000,0,2,1,165.56
