ID	Residence_Type	ECF	Street Address	Sale_Date	Price	Type	Class	Year_Built	Square_Feet	Basement_Square_Feet	Basement_Finished_Recreation	Basement_Finished_Living	Full_Baths	Half_Baths	Price_per_sqft
04C_04-128-002_136	House	04C	6878 Serenity 	42902	310000	Colonial	C	1986	2228	1246	1000	0	2	1	139.14
04C_04-128-010_137	House	04C	446 Serenity 	42965	305000	Colonial	C	1986	2322	938	0	0	2	1	131.35
04C_04-128-005_138	House	04C	6850 Serenity 	43348	339000	Ranch	C	1986	1572	1557	1400	0	3	0	215.65
04C_04-206-002_139	House	04C	6886 High Oaks 	43181	299900	Ranch	C	1986	1599	1579	1200	0	2	1	187.55
04C_04-129-006_140	House	04C	6782 Serenity 	42922	290000	Ranch	C	1985	1879	1879	0	0	2	1	154.34
04D_04-304-010_141	House	04D	805 Drew 	42916	363000	Colonial	C	1986	2002	1170	500	0	2	1	181.32
04D_04-304-013_142	House	04D	6330 Riverton 	43227	335000	Ranch	C	1986	1764	1764	0	0	2	0	189.91
04D_04-305-012_143	House	04D	6355 Riverton 	43419	375000	Ranch	C	1986	1764	1764	1100	0	2	0	212.59
04D_04-306-004_144	House	04D	923 Bridgetown 	43465	315000	Ranch	C	1986	1776	1764	0	0	2	0	177.36
04D_04-306-004_145	House	04D	923 Bridgetown 	42951	325000	Ranch	C	1986	1776	1764	0	0	2	0	183
04D_04-303-022_146	House	04D	6345 Brookings 	43006	350000	Ranch	C	1986	1815	1815	0	0	2	0	192.84
